Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
18-071469,2018-07-28 00:00:00,,300 Highway 153 SB,,Chattanooga,Hamilton,Jersey Pike,,0,0,1,1,0,0,55.0,1,6,1,0,1.0,1.0,35.0336745,-85.180913,POINT (-85.180913 35.0336745),"(35.0336745, -85.180913)",6,2018,7,28,0,5
18-072056,2018-07-29 23:00:00,23.0,4537 Norcross Rd,,Chattanooga,Hamilton,Vanessa Dr,,0,0,1,1,0,0,40.0,1,0,1,0,0.0,0.0,35.133413,-85.255501,POINT (-85.255501 35.133413),"(35.133413, -85.255501)",1,2018,7,29,23,6
18-076736,2018-08-12 00:00:00,,114 Raider Ln,,Chattanooga,Hamilton,Signal Mountain Rd.,,1,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.089254,-85.33089,POINT (-85.33089 35.089254),"(35.089254, -85.330890)",6,2018,8,12,0,6
18-078276,2018-08-16 20:25:00,20.5,Webb Rd,,Chattanooga,Hamilton,Rosalind Ln,,1,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.093622,-85.190694,POINT (-85.190694 35.093622),"(35.093622, -85.190694)",5,2018,8,16,20,3
18-083091,2018-08-30 16:50:00,17.0,3222 Cummings Hwy,US-41,Chattanooga,Hamilton,3200 Cummings Hwy,32.0,5,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.019037,-85.371242,POINT (-85.371242 35.019037),"(35.019037, -85.371242)",4,2018,8,30,16,3
18-085109,2018-09-05 17:27:00,17.5,1300 Poplar St,,Chattanooga,Hamilton,12th St,,4,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0436476,-85.312249,POINT (-85.312249 35.0436476),"(35.0436476, -85.312249)",4,2018,9,5,17,2
18-089195,2018-09-17 02:30:00,2.5,Gunbarrel Rd,,Chattanooga,Hamilton,Gunbarrel RD,,4,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.03437,-85.151582,POINT (-85.151582 35.03437),"(35.034370, -85.151582)",1,2018,9,17,2,0
18-091946,2018-09-24 20:25:00,20.5,7356 Lee Highway,,Chattanooga,Hamilton,Cedar Creek mobile home park,,0,0,1,1,0,0,45.0,1,4,1,0,0.0,0.0,35.0814356,-85.263616,POINT (-85.263616 35.0814356),"(35.0814356, -85.263616)",0,2018,9,24,20,0
18-092529,2018-09-26 13:00:00,13.0,600 Mccallie Ave,,Chattanooga,Hamilton,Campus Dr,,4,0,0,0,1,0,25.0,1,4,1,0,0.0,0.0,35.045946,-85.301604,POINT (-85.301604 35.045946),"(35.045946, -85.301604)",4,2018,9,26,13,2
18-093037,2018-09-27 20:17:00,20.5,Bonny Oaks Dr,,Chattanooga,Hamilton,Lee Hwy,,4,0,0,0,1,0,40.0,1,4,1,0,0.0,0.0,35.060689,-85.134239,POINT (-85.134239 35.060689),"(35.060689, -85.134239)",0,2018,9,27,20,3
