Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
19-059891,06/20/2019 01:25:00 AM,1.5,Rossville Blvd,SR-4000,Chattanooga,Hamilton,E 40th St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,34.997339,-85.291703,POINT (-85.291703 34.997339),"(34.997339, -85.291703)",Dark - Not Lighted
19-063360,06/28/2019 10:30:00 PM,22.5,3404 Navajo Dr,,Chattanooga,Hamilton,S Germantown Rd.,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Clear,Yes,No,No,No,35.016959,-85.251097,POINT (-85.251097 35.016959),"(35.016959, -85.251097)",Dark - Not Lighted
19-063597,06/29/2019 01:50:00 PM,14,8164 E Brainerd Rd,,Chattanooga,Hamilton,E Brainered Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.002514,-85.147593,POINT (-85.147593 35.002514),"(35.002514, -85.147593)",Daylight
19-064203,07/01/2019 10:43:00 AM,10.5,300 N Market St,,Chattanooga,Hamilton,Kent Street,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.064593,-85.308922,POINT (-85.308922 35.064593),"(35.064593, -85.308922)",Daylight
19-065093,07/03/2019 04:19:00 PM,16.5,200 Tunnel Blvd,SR-1,Chattanooga,Hamilton,Pinewood Ave,1,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.027661,-85.247331,POINT (-85.247331 35.027661),"(35.027661, -85.247331)",Daylight
19-067122,07/09/2019 06:50:00 AM,7,1255 Central Ave,,Chattanooga,Hamilton,E 13th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.034534,-85.295368,POINT (-85.295368 35.034534),"(35.034534, -85.295368)",Daylight
19-068988,07/14/2019 01:50:00 AM,2,808 Fairview Ave,,Chattanooga,Hamilton,E. mlk,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,No,35.0510711,-85.322005,POINT (-85.322005 35.0510711),"(35.0510711, -85.322005)",Dark - Lighted
19-069775,07/16/2019 12:00:00 PM,12,22 Starview Ln,,Chattanooga,Hamilton,Cummings Hwy,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,,1,Clear,Yes,No,No,No,35.02038,-85.378301,POINT (-85.378301 35.02038),"(35.020380, -85.378301)",Daylight
19-076880,08/04/2019 09:05:00 PM,21,1816 Dodds Ave,SR-1,Chattanooga,Hamilton,18016 Dodds Ave,1,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.019143,-85.2716,POINT (-85.2716 35.019143),"(35.019143, -85.271600)",Dark - Lighted
19-076980,08/05/2019 06:40:00 AM,6.5,975 E 3rd St,,Chattanooga,Hamilton,E 3rd St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.0407327,-85.299871,POINT (-85.299871 35.0407327),"(35.0407327, -85.299871)",Daylight
